Category,Case number,Crime date and time,Report date,Location,Incident Description,Residential occurrence,Disposition
Criminal Mischief,CSA20181494,10/20/2018 - 12:00am,10/20/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,CRIMINAL MISCHIEF,Yes,Closed - CSA
Terroristic Threatening,201823131,10/19/2018 - 12:30pm,10/19/2018,1740 NICHOLASVILLE ROAD - BAPTIST HEALTH LEXINGTON,TERRORISTIC THREATENING - DOMESTIC VIOLENCE,No,Closed
Assault,20181929,10/19/2018 - 9:10am,10/19/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"ASSAULT, 4TH DEGREE NO VISIBLE INJURY",No,Closed
Theft,20181931,10/19/2018 - 3:45pm,10/19/2018,160 AVENUE OF CHAMPIONS - STUDENT CENTER,THEFT BY UNLAWFUL TAKING - ALL OTHERS UNDER $500,No,Open
Harassment,CSA20181489,10/19/2018 - 11:57am,10/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20181488,10/19/2018 - 11:20am,10/19/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Drug Violations,CSA20181484,10/19/2018 - 12:30am,10/19/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,DRUG VIOLATION ALLEGATION - UNSPECIFIED DRUG TYPE,No,Closed - CSA
Harassment,CSA20181519,10/09/2018 - 5:45pm,10/19/2018,325 HUGUELET DRIVE - HAGGIN HALL,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Harassment,CSA20181518,10/10/2018 - 12:00am,10/19/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Harassment,CSA20181517,10/19/2018 - 12:45am,10/19/2018,325 HUGUELET DRIVE - HAGGIN HALL,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Harassment,CSA20181513,10/06/2018 - 6:00pm,10/19/2018,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Harassment,CSA20181512,10/19/2018 - 12:30pm,10/19/2018,422 ROSE LANE - SIGMA NU FRATERNITY,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Liquor Law Violation,CSA20181500,10/18/2018 - 10:45pm,10/19/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X8,Yes,Closed - CSA
Theft,20181917,10/17/2018 - 5:15pm,10/18/2018,125 EAST MAXWELL STREET - GOOD SAMARITAN MEDICAL OFFICE BUILDING,THEFT BY UNLAWFUL TAKING - FROM BUILDING UNDER $500,No,Closed
Theft,20181921,10/18/2018 - 1:10pm,10/18/2018,160 AVENUE OF CHAMPIONS - STUDENT CENTER,THEFT BY UNLAWFUL TAKING - SHOPLIFTING UNDER $500 X2; GIVING OFFICER FALSE IDENTIFYING INFORMATION X2; RECEIVING STOLEN PROPERTY UNDER $500 X2,No,Cleared By Arrest
Drug Violations,20181919,10/18/2018 - 1:10pm,10/18/2018,160 AVENUE OF CHAMPIONS - STUDENT CENTER,"POSSESSION CONTROLLED SUBSTANCE 1ST DEGREE, 1ST OFFENSE METHAMPHETAMINE; DRUG PARAPHERNALIA-BUY/POSSESS; POSSESSION OF CONTROLLED SUBSTSANCE",No,Citation issued
Theft,20181922,10/18/2018 - 9:00am,10/18/2018,800 ROSE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING  - FROM BUILDING $500 OR MORE BUT UNDER $10,000",No,Closed
All Other Offenses,20181923,10/18/2018 - 5:00pm,10/18/2018,COLUMBIA AVENUE/WOODLAND AVENUE,"INDECENT EXPOSURE, 2ND DEGREE",No,Closed
Harassment,CSA20181492,10/18/2018 - 1:18pm,10/18/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed
Harassment,CSA20181491,10/18/2018 - 2:26pm,10/18/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20181490,10/18/2018 - 3:24pm,10/18/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Terroristic Threatening,CSA20181481,10/18/2018 - 11:50am,10/18/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Harassment,CSA20181521,10/14/2018 - 10:00am,10/18/2018,340 HILLTOP AVENUE - JOHNSON HALL,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Harassment,CSA20181520,10/15/2018 - 7:30pm,10/18/2018,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Drug Violations,CSA20181506,10/18/2018 - 8:30pm,10/18/2018,"329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL, SIDEWALK AREA",DRUG VIOLATION - MARIJUANA X2,No,Closed - CSA
Harassment,CSA20181503,10/18/2018 - 5:30pm,10/18/2018,357 SOUTH LIMESTONE STREET - SIDEWALK AREA,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Liquor Law Violation,CSA20181501,10/18/2018 - 10:30pm,10/18/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X5,Yes,Closed - CSA
Theft,CSA20181497,10/12/2018 - 12:00am,10/18/2018,340 HILLTOP AVENUE - JOHNSON HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Theft,CSA20181495,10/17/2018 - 5:05pm,10/18/2018,401 HILLTOP AVENUE - WT YOUNG LIBRARY,THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Theft,20181972,10/18/2018 - 7:00am,10/18/2018,1608 UNIVERSITY COURT - SHAWNEE TOWN,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT UNDER $10,000",No,Open
Assault,LPD201800000N803362,10/18/2018 - 6:36pm,10/18/2018,371 SOUTH LIMESTONE STREET - SIDEWALK,ASSAULT 3RD DEGREE OF POLICE/PROBATION OFFICER; DISORDERLY CONDUCT 1ST DEGREE; PUBLIC INTOXICATION CONTROLLED SUBSTANCE EXCLUDES ALCOHOL,No,Closed - Lexington Police Report
Theft,20181916,10/17/2018 - 4:55pm,10/17/2018,401 HILLTOP AVENUE - WT YOUNG LIBRARY,"THEFT BY UNLAWFUL TAKING - FROM BUILDING $500 OR MORE BUT UNDER $10,000",No,Open
Harassment,CSA20181480,10/17/2018 - 7:49am,10/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Harassment,CSA20181479,10/17/2018 - 11:15am,10/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20181478,10/17/2018 - 12:56pm,10/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Terroristic Threatening,CSA20181477,10/17/2018 - 1:10pm,10/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Sex Offenses,20181908,10/11/2018 - 2:00pm,10/16/2018,110 CONN TERRACE - UK ADVANCED EYE CARE,SEXUAL ABUSE 3RD DEGREE,No,Closed
Theft,20181909,10/16/2018 - 7:00am,10/16/2018,900 SOUTH LIMESTONE STREET - CHARLES T. WETHINGTON BUILDING,"THEFT BY UNLAWFUL TAKING  - FROM BUILDING $500 OR MORE BUT U/$10,000",No,Closed
Theft,20181910,10/12/2018 - 1:10pm,10/16/2018,701 SPORTS CENTER DRIVE - BALDWIN HALL,THEFT - FROM BUILDING UNDER $500,Yes,Closed
Theft,CSA20181476,10/16/2018 - 4:00pm,10/16/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Terroristic Threatening,CSA20181475,10/16/2018 - 7:47pm,10/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING; CRIMINAL MISCHIEF,No,Closed - CSA
Harassment,CSA20181474,10/16/2018 - 10:24pm,10/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Assault,CSA20181473,10/16/2018 - 3:15pm,10/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Public Intoxication,LPD201800000N803905,10/16/2018 - 9:38pm,10/16/2018,325 SOUTH LIMESTONE STREET - ON SIDEWALK,PUBLIC INTOXICATION CONTROLLED SUBSTANCE EXCLUDES ALCOHOL,No,Closed - Lexington Police Report
Theft,20181899,09/25/2018 - 5:00pm,10/15/2018,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,THEFT OF MAIL MATTER,No,Closed
Theft,20181897,10/12/2018 - 12:00am,10/15/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT UNDER $10,000",No,Open
Theft,20181900,08/28/2018 - 12:00am,10/15/2018,741 SOUTH LIMESTONE - BBSRB BUILDING,"THEFT BY UNLAWFUL TAKING  - ALL OTHERS $10,000 OR MORE BUT UNDER $1,000,000",No,Open
Theft,20181898,10/15/2018 - 11:00am,10/15/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING  - ALL OTHERS UNDER $500,No,Closed
Theft,20181903,10/15/2018 - 5:30pm,10/15/2018,160 AVENUE OF CHAMPIONS - STUDENT CENTER,THEFT BY UNLAWFUL TAKING - FROM BUILDING UNDER $500,No,Open
Theft,20181904,10/15/2018 - 4:00pm,10/15/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,THEFT BY UNLAWFUL TAKING - FROM BUILDING UNDER $500,No,Closed
Assault,CSA20181472,10/15/2018 - 8:27pm,10/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20181471,10/15/2018 - 4:54pm,10/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20181470,10/15/2018 - 8:36am,10/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181469,10/15/2018 - 8:24am,10/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Theft,CSA20181468,10/15/2018 - 12:25am,10/15/2018,361 HUGUELET DRIVE - DONOVAN HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Drug Violations,CSA20181467,10/15/2018 - 8:30pm,10/15/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,DRUG VIOLATION ALLEGATION - MARIJUANA X2,Yes,Closed - CSA
Theft,LPD201800200222,10/05/2018 - 8:00am,10/15/2018,800 ROSE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING - ALL OTHERS OVER $500 BUT UNDER $10,000",No,Closed - Lexington Police Report
Theft,20181893,10/12/2018 - 5:00pm,10/14/2018,698 SPORTS CENTER DRIVE - SHIVLEY TRACK AND FIELD PARKING LOT,THEFT BY UNLAWFUL TAKING - CONTENTS FROM VEHICLE UNDER $500,No,Open
Assault,201822692,10/14/2018 - 3:10am,10/14/2018,287 SOUTH LIMESTONE STREET - SIDEWALK AREA,ASSAULT,No,Closed
Assault,201822687,10/14/2018 - 2:17am,10/14/2018,319 SOUTH LIMESTONE STREET - SIDEWALK,ASSAULT,No,Closed
Drug Violations,20181892,10/14/2018 - 3:56pm,10/14/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
Assault,CSA20181460,10/14/2018 - 8:06am,10/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Drug Violations,201822890,10/14/2018 - 6:00pm,10/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,POSSESSION OF CONTROLLED SUBSTANCE,No,Closed
Theft,20181890,10/13/2018 - 4:30pm,10/13/2018,401 HILLTOP AVENUE - WT YOUNG LIBRARY,"THEFT BY UNLAWFUL TAKING - FROM BUILDING $500 OR MORE BUT UNDER $10,000",No,Closed
Theft,20181889,10/13/2018 - 8:00am,10/13/2018,160 AVENUE OF CHAMPIONS - STUDENT CENTER,THEFT BY UNLAWFUL TAKING - SHOPLIFTING UNDER $500,No,Citation issued
Liquor Law Violation,CSA20181466,10/13/2018 - 12:18pm,10/13/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X5,Yes,Closed - CSA
Liquor Law Violation,CSA20181465,10/13/2018 - 2:04am,10/13/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X7,Yes,Closed - CSA
Theft,CSA20181464,10/13/2018 - 1:45am,10/13/2018,740 WOODLAND AVENUE - SMITH HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Assault,CSA20181459,10/13/2018 - 7:45pm,10/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20181458,10/13/2018 - 4:21pm,10/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181457,10/13/2018 - 1:47pm,10/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20181456,10/13/2018 - 9:06pm,10/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Theft,CSA20181453,10/13/2018 - 12:00pm,10/13/2018,701 SPORTS CENTER DRIVE - BALDWIN HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Alcohol Intoxication,20181882,10/12/2018 - 12:12am,10/12/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,Yes,Cleared By Arrest
Alcohol Intoxication,20181883,10/12/2018 - 3:38am,10/12/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST & 2ND OFFENSE,No,Cleared By Arrest
Drug Violations,201822585,10/12/2018 - 3:30am,10/12/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,POSSESSION OF CONTROLLED SUBSTANCE,No,Closed
Alcohol Intoxication,201822587,10/12/2018 - 3:52am,10/12/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,ALCOHOL INTOXICATION,Yes,Closed
Arson,201822613,10/12/2018 - 6:30pm,10/12/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,ARSON,Yes,Closed
Theft,20181885,10/11/2018 - 11:00pm,10/12/2018,"111 AVENUE OF CHAMPIONS - HOLMES HALL, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLES UNDER $500,No,Open
Theft,20181884,10/12/2018 - 7:04am,10/12/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING - FROM BUILDING $500 OR MORE BUT UNDER $10,000",No,Open
Drug Violations,20181886,10/12/2018 - 6:25pm,10/12/2018,701 SPORTS CENTER DRIVE - BALDWIN HALL,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Citation issued
Criminal Trespass,20181887,10/12/2018 - 8:30pm,10/12/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,CRIMINAL TRESPASSING 3RD DEGREE,No,Cleared By Arrest
Terroristic Threatening,CSA20181463,10/11/2018 - 4:00am,10/12/2018,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,TERRORISTIC THREATENING,Yes,Closed - CSA
Criminal Mischief,CSA20181462,10/12/2018 - 3:30am,10/12/2018,340 HILLTOP AVENUE - JOHNSON HALL,CRIMINAL MISCHIEF,Yes,Closed - CSA
Liquor Law Violation,CSA20181461,10/11/2018 - 10:15pm,10/12/2018,685 SPORTS CENTER DRIVE - WOODLAND GLEN III,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X8,Yes,Closed - CSA
Assault,CSA20181455,10/12/2018 - 7:58pm,10/12/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20181454,10/12/2018 - 2:57pm,10/12/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Alcohol Intoxication,CSA20181452,10/12/2018 - 3:45am,10/12/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,ALCOHOL INTOXICATION,Yes,Closed - CSA
Theft,CSA20181444,10/10/2018 - 8:00pm,10/11/2018,430 COMPLEX DRIVE - JOHNSON CENTER,THEFT BY UNLAWFUL TAKING,No,Closed - CSA
All Other Offenses,20181878,10/11/2018 - 12:50pm,10/11/2018,800 ROSE STREET - CHANDLER HOSPITAL,"INDECENT EXPOSURE, 2ND DEGREE",No,Cleared By Arrest
Theft,CSA20181451,10/10/2018 - 10:05pm,10/11/2018,430 COMPLEX DRIVE - JOHNSON CENTER,THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Assault,CSA20181450,10/11/2018 - 5:05pm,10/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181449,10/11/2018 - 1:54pm,10/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Drug Violations,CSA20181448,10/09/2018 - 11:15pm,10/11/2018,740 WOODLAND AVENUE - SMITH HALL,DRUG VIOLATION ALLEGATION - UNKNOWN CONTROLLED SUBSTANCE & MARIJUANA X3,Yes,Closed - CSA
Drug Violations,CSA20181447,10/10/2018 - 8:00pm,10/11/2018,361 HUGUELET DRIVE - DONOVAN HALL,DRUG VIOLATION ALLEGATION - MARIJUANA X2,Yes,Closed - CSA
Harassment,CSA20181446,10/11/2018 - 3:51pm,10/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Public Intoxication,LPD201800000N803872,10/11/2018 - 11:17am,10/11/2018,315 SOUTH LIMESTONE STREET - SIDEWALK,PUBLIC INTOXICATION CONTROLLED SUBSTANCE EXCLUDES ALCOHOL,No,Closed - Lexington Police Report
All Other Offenses,201822421,10/10/2018 - 12:24am,10/10/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,VIOLATION OF EMERGENCY PROTECTIVE ORDER/DOMESTIC VIOLENCE ORDER,No,Closed
Assault,20181874,10/10/2018 - 10:00pm,10/10/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"ASSAULT, 4TH DEGREE NO VISIBLE INJURY",No,Closed
Theft,20181868,10/10/2018 - 11:10am,10/10/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING - SHOPLIFTING UNDER $500 X2; RESISTING ARREST; FLEEING OR EVADING POLICE, 2ND DEGREE ON FOOT",No,Citation issued
Theft,20181869,10/10/2018 - 1:11pm,10/10/2018,830 SOUTH LIMESTONE STREET - UNIVERSITY HEALTH SERVICES,"THEFT BY UNLAWFUL TAKING - CONTROLLED SUBSTANCE UNDER $1,000",No,Closed
Criminal Mischief,20181871,10/08/2018 - 6:00pm,10/10/2018,UNIVERSITY DRIVE OUTSIDE UNIVERSITY FLATS,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Drug Violations,20181872,10/10/2018 - 8:00pm,10/10/2018,361 HUGUELET DRIVE - DONOVAN HALL,DRUG PARAPHERNALIA-BUY/POSSESS,Yes,Closed
Drug Violations,201822487,10/10/2018 - 9:42pm,10/10/2018,800 ROSE STREET - CHANDLER HOSPITAL,POSSESSION OF CONTROLLED SUBSTANCE,No,Closed - CSA
Drug Violations,CSA20181445,10/10/2018 - 8:30pm,10/10/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,DRUG VIOLATION ALLEGATION - MARIJUANA X2,Yes,Closed - CSA
Harassment,CSA20181443,10/10/2018 - 11:20am,10/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20181442,10/09/2018 - 9:00pm,10/10/2018,"ON CAMPUS - RESIDENTIAL FACILITY, EXACT LOCATION UNSPECIFIED",HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Harassment,CSA20181441,10/10/2018 - 7:00pm,10/10/2018,720 WOODLAND AVENUE - CHELLGREN HALL,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Harassment,CSA20181440,10/10/2018 - 4:11pm,10/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20181439,10/10/2018 - 2:04pm,10/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Theft,20181875,10/10/2018 - 4:00pm,10/10/2018,"721 PRESS AVENUE - PARKING STRUCTURE #6, BIKE RACKS",THEFT BY UNLAWFUL TAKING - BICYCLES U/$500,No,Closed
Drug Violations,20181855,10/09/2018 - 12:32am,10/09/2018,538 ROSE STREET - PARKING STRUCTURE #2,POSSESSION OF MARIJUANA,No,Citation issued
Drug Violations,201822359,10/09/2018 - 5:50am,10/09/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
Harassing Communications,201822396,10/09/2018 - 6:15pm,10/09/2018,361 HUGUELET DRIVE - DONOVAN HALL,HARASSING COMMUNICATIONS,Yes,Closed
Harassing Communications,20181858,03/27/2018 - 3:09pm,10/09/2018,410 ADMINISTRATION DRIVE - MAIN BUILDING,HARASSING COMMUNICATIONS,No,Open
Theft,20181857,10/09/2018 - 12:30am,10/09/2018,"685 SPORTS CENTER DRIVE - WOODLAND GLEN III, BIKE RACK","THEFT BY UNLAWFUL TAKING - BICYCLES $500 OR MORE BUT UNDER $10,000",No,Open
Drug Violations,201822404,10/09/2018 - 10:26pm,10/09/2018,ROSE STREET/COLISEUM ALLEY,POSSESSION OF MARIJUANA; DISREGARDING TRAFFIC CONTROL DEVICE-TRAFFIC LIGHT,No,Closed
Terroristic Threatening,CSA20181438,10/09/2018 - 4:45pm,10/09/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,TERRORISTIC THREATENING,Yes,Closed - CSA
Drug Violations,CSA20181436,10/08/2018 - 11:45pm,10/09/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,DRUG VIOLATION ALLEGATION - MARIJUANA; HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Drug Violations,CSA20181437,10/08/2018 - 11:45pm,10/09/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed - CSA
Harassment,CSA20181435,10/09/2018 - 5:17pm,10/09/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
All Other Offenses,201822266,10/08/2018 - 3:30am,10/08/2018,SOUTH LIMESTONE STREET/AVENUE OF CHAMPIONS,MENACING,No,Closed
Drug Violations,201822248,10/08/2018 - 1:30am,10/08/2018,WINSLOW STREET/JERSEY STREET,POSSESSION OF MARIJUANA; FAILURE TO WEAR SEAT BELTS,No,Closed
Theft,20181850,10/06/2018 - 2:00am,10/08/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING - FROM BUILDING U/$500,No,Open
Theft,20181851,10/05/2018 - 3:00pm,10/08/2018,"111 AVENUE OF CHAMPIONS - HOLMES HALL, BIKE RACK","THEFT BY UNLAWFUL TAKING - BICYCLES $500 OR MORE BUT U/$10,000",No,Closed
Theft,20181853,10/06/2018 - 12:10am,10/08/2018,650 WOODLAND AVENUE - WOODLAND GLEN II,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,Yes,Closed
Assault,CSA20181434,10/08/2018 - 9:50pm,10/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Terroristic Threatening,CSA20181433,10/08/2018 - 11:45am,10/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Liquor Law Violation,CSA20181431,09/28/2018 - 4:57pm,10/08/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X2,Yes,Closed - CSA
Liquor Law Violation,CSA20181430,10/05/2018 - 6:35pm,10/08/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL x2,Yes,Closed - CSA
Drug Violations,CSA20181429,09/28/2018 - 4:57pm,10/08/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,DRUG VIOLATION ALLEGATION - MARIJUANA X2,Yes,Closed - CSA
All Other Offenses,201822329,10/08/2018 - 9:44pm,10/08/2018,405 ROSE STREET - SINGLETARY CENTER,VIOLATION OF EMERGENCY PROTECTIVE ORDER,No,Closed
Drug Violations,20181844,10/07/2018 - 8:18pm,10/07/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,POSSESSION OF MARIJUANA,Yes,Closed
Harassment,CSA20181415,10/07/2018 - 6:30pm,10/07/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Alcohol Intoxication,CSA20181413,10/07/2018 - 3:30pm,10/07/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ALCOHOL INTOXICATION,No,Closed - CSA
