Category,Case number,Crime date and time,Report date,Location,Incident Description,Residential occurrence,Disposition
Assault,201909270074-01,09/27/2019 - 7:40pm,09/27/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,HARASSMENT - PHYSICAL CONTACT - NO INJURY; CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Drug Violations,201909270045-01,09/27/2019 - 11:00am,09/27/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION CONTROLLED SUBSTANCE 1ST DEGREE 1ST OFFENSE HEROIN,No,Closed
Drug Violations,201909270061-01,09/27/2019 - 3:00pm,09/27/2019,109 WALLER AVENUE - UNIVERSITY INN,DRUG PARAPHERNALIA - BUY/POSSESS,Yes,Closed
Theft,201909270046-01,09/27/2019 - 11:28am,09/27/2019,160 AVENUE OF CHAMPIONS - STUDENT CENTER,THEFT BY UNLAWFUL TAKING - SHOPLIFTING UNDER $500,No,Cleared By Arrest
Public Intoxication,201909270066-01,09/27/2019 - 5:15pm,09/27/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,PUBLIC INTOXICATION - CONTROLLED SUBSTANCE EXCLUDES ALCOHOL,No,Cleared By Arrest
Alcohol Intoxication,CSA20191094,09/27/2019 - 2:15am,09/27/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X6,Yes,Closed - CSA
Assault,CSA20191089,09/27/2019 - 3:53pm,09/27/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Assault,CSA20191088,09/27/2019 - 12:00am,09/27/2019,SOUTH LIMESTONE STREET NEAR AVENUE OF CHAMPIONS,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Liquor Law Violation,CSA20191087,09/27/2019 - 10:30pm,09/27/2019,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Closed - CSA
Liquor Law Violation,CSA20191086,09/26/2019 - 10:36pm,09/27/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X5,Yes,Closed - CSA
Liquor Law Violation,CSA20191085,09/26/2019 - 11:20pm,09/27/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X5,Yes,Closed - CSA
Liquor Law Violation,CSA20191084,09/27/2019 - 12:15am,09/27/2019,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
Liquor Law Violation,CSA20191083,09/27/2019 - 4:00pm,09/27/2019,109 WALLER AVENUE - UNIVERSITY INN,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Closed - CSA
Theft,CSA20191080,09/27/2019 - 1:20am,09/27/2019,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,THEFT BY UNLAWFUL TAKING; TERRORISTIC THREATENING,Yes,Closed - CSA
Criminal Mischief,CSA20191072,09/25/2019 - 11:26pm,09/26/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Drug Violations,201909260006,09/26/2019 - 12:00am,09/26/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION CONTROLLED SUBSTANCE 1ST DEGREE 1ST OFFENSE DRUG UNSPECIFIED; POSSESSION CONTROLLED SUBSTANCE,No,Closed
Theft,201909260078-01,09/26/2019 - 5:20pm,09/26/2019,160 AVENUE OF CHAMPIONS - STUDENT CENTER,THEFT BY UNLAWFUL TAKING SHOPLIFTING UNDER $500,No,Closed
Theft,201909260076-01,09/26/2019 - 3:00pm,09/26/2019,406 ADMINISTRAITON DRIVE - FRAZEE HALL BIKE RACK,THEFT BY UNLAWFUL TAKING - BICYCLE UNDER $500,No,Closed
All Other Offenses,CSA20191079,09/26/2019 - 12:00am,09/26/2019,ON CAMPUS - UNSPECIFIED LOCATION.,STALKING; DATING VIOLENCE (HARASSMENT-PHYSICAL CONTACT-NO INJURY),No,Closed - CSA
Harassment,CSA20191077,09/26/2019 - 3:00pm,09/26/2019,201 AVENUE OF CHAMPIONS - MEMORIAL COLISEUM,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Theft,CSA20191076,09/26/2019 - 2:15pm,09/26/2019,740 WOODLAND AVENUE - SMITH HALL,BIKE THEFT,No,Closed - CSA
Theft,201909260040-01,09/25/2019 - 6:00pm,09/26/2019,408 PENNSYLVANIA AVENUE - FRATERNITY CONSTRUCTION SITE,THEFT BY UNLAWFUL TAKING UNDER $500,No,Closed
Criminal Mischief,201909270041-01,09/26/2019 - 5:00pm,09/26/2019,758 WOODLAND AVENUE - KIRWAN TOWER,CRIMINAL MISCHIEF - 3RD DEGREE,No,Closed
Assault,CSA20191069,09/25/2019 - 5:17am,09/25/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,201909250008-01,09/25/2019 - 12:51am,09/25/2019,333 SOUTH LIMESTONE STREET - SIDEWALK,ASSAULT 4TH DEGREE; DISORDERLY CONDUCT 2ND DEGREE; PUBLIC INTOXICATION CONTROLLED SUBSTANCE (EXCLUDES ALCOHOL); MENACING; ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST & 2ND OFFENSE,No,Citation issued
Drug Violations,201909250015-01,09/25/2019 - 2:34am,09/25/2019,SOUTH LIMESTONE STREET/EAST MAXWELL STREET,POSSESSION OF CONTROLLED SUBSTANCE 2ND DEGREE; RESISTING ARREST; DISORDERLY CONDUCT 2ND DEGREE,No,Cleared By Arrest
Drug Violations,201909250015-02,09/25/2019 - 2:34am,09/25/2019,SOUTH LIMESTONE STREET/EAST MAXWELL STREET,POSSESSION CONTROLLED SUBSTANCE 1ST DEGREE 1ST OFFENSE OPIATES; POSSESSION CONTROLLED SUBSTANCE 1ST DEGREE 1ST OFFENSE COCAINE; DRUG PARAPHERNALIA BUY POSSESS; DISORDERLY CONDUCT 2ND DEGREE; PRESCRIPTION CONTROLLED SUBSTANCE NOT PROPER CONTAINER 1ST OFFENSE; ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST & 2ND OFFENSE,No,Cleared By Arrest
Criminal Mischief,201909250009-01,09/25/2019 - 12:33am,09/25/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Drug Violations,201909250013-01,09/25/2019 - 3:23am,09/25/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION CONTROLLED SUBSTANCE 1ST DEGREE 1ST OFFENSE METHAMPHETAMINE,No,Cleared By Arrest
Harassment,CSA20191071,09/25/2019 - 8:40pm,09/25/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20191073,09/25/2019 - 10:39pm,09/25/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT NO PHYSICAL CONTACT,No,Closed - CSA
Assault,CSA20191074,09/25/2019 - 6:08pm,09/25/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20191075,09/22/2019 - 10:40pm,09/25/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT NO PHYSICAL CONTACT,No,Closed - CSA
Criminal Mischief,201909250073-01,09/25/2019 - 11:00pm,09/25/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Terroristic Threatening,201909250053-01,09/25/2019 - 6:30pm,09/25/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,TERRORISTIC THREATENING 1ST DEGREE,No,Open
All Other Offenses,201909250029-002,09/25/2019 - 10:50am,09/25/2019,179 FUNKHOUSER DRIVE,MENACING,No,Closed
Theft,201909250055-01,09/18/2019 - 7:48pm,09/25/2019,"650 WOODLAND AVENUE - WOODLAND GLEN II, BIKE RACKS",THEFT BY UNLAWFUL TAKING BICYCLES UNDER $500,No,Closed
Theft,201909250035-01,09/21/2019 - 11:00pm,09/25/2019,"344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLE,No,Closed
